PlasticType,wavelength1,wavelength2,wavelength3,wavelength4,wavelength5,wavelength6,wavelength7,wavelength8,wavelength9,wavelength10,wavelength11
2,739402,337455,419472,318053,389461,179100,-1545.95,820.17,-676.1266667,714.08,-2103.61
2,739402,337455,419472,318053,389461,179100,-1545.95,820.17,-676.1266667,714.08,-2103.61
2,744313,341199,423140,320050,387348,176584,-1550.438462,819.41,-687.2666667,672.98,-2107.64
2,784628,359651,443978,332802,401487,181534,-1634.526923,843.27,-741.1733333,686.85,-2199.53
2,796445,366537,457434,346541,415332,185546,-1653.492308,908.97,-739.2866667,687.91,-2297.86
2,766802,346440,441782,345168,418665,182916,-1616.776923,953.42,-644.0933333,734.97,-2357.49
2,747378,336738,419228,316423,387375,177702,-1579.384615,824.9,-685.3666667,709.52,-2096.73
2,747726,336825,419290,316390,387319,177614,-1580.388462,824.65,-686,709.29,-2097.05
2,747684,337141,419519,316658,387669,177863,-1579.011538,823.78,-685.74,710.11,-2098.06
2,757351,346941,429962,328800,395989,179200,-1578.5,830.21,-674.4133333,671.89,-2167.89
2,584349,256151,321720,229185,280134,123304,-1262.3,655.69,-616.9,509.49,-1568.3
2,584347,256248,321652,229071,280023,123148,-1261.919231,654.04,-617.2066667,509.52,-1568.75
2,583233,258761,322218,230795,269128,122736,-1247.969231,634.57,-609.4866667,383.33,-1463.92
2,589946,260808,326944,235172,277604,124454,-1265.915385,661.36,-611.8133333,424.32,-1531.5
2,589356,245644,312858,224022,275767,128043,-1321.969231,672.14,-592.24,517.45,-1477.24
2,609734,270627,341818,262347,315359,134654,-1304.257692,711.91,-529.8066667,530.12,-1807.05
2,623152,278873,349490,267253,318669,139240,-1324.15,706.17,-548.2466667,514.16,-1794.29
2,689494,307563,383183,272737,330501,151560,-1468.965385,756.2,-736.3066667,577.64,-1789.41
2,689299,307611,382984,272533,330538,151617,-1468.030769,753.73,-736.34,580.05,-1789.21
2,689408,307464,382829,272585,330360,151436,-1469.015385,753.65,-734.96,577.75,-1789.24
5,753197,381459,464465,349047,403808,172368,-1429.761538,830.06,-769.4533333,547.61,-2314.4
5,747278,371957,443802,335769,392697,177528,-1443.542308,718.45,-720.22,569.28,-2151.69
5,787048,378384,463560,344453,408379,185556,-1571.784615,851.76,-794.0466667,639.26,-2228.23
5,795202,381942,460597,353222,434889,189813,-1589.461538,786.55,-715.8333333,816.67,-2450.76
5,809436,407473,502116,376841,426688,182598,-1546.011538,946.43,-835.1666667,498.47,-2440.9
5,755528,370355,455382,377327,448173,185955,-1481.434615,850.27,-520.3666667,708.46,-2622.18
5,805028,401129,471884,342781,407331,181773,-1553.457692,707.55,-860.6866667,645.5,-2255.58
5,769368,395112,486164,356187,407120,176058,-1439.446154,910.52,-866.5133333,509.33,-2310.62
5,750361,357631,451944,373255,435223,185214,-1510.5,943.13,-524.5933333,619.68,-2500.09
5,783111,374713,441344,353603,441840,188028,-1570.761538,666.31,-584.94,882.37,-2538.12
5,546984,257599,323137,236589,280834,118978,-1113.019231,655.38,-576.9866667,442.45,-1618.56
5,583458,273353,335018,246506,299755,125920,-1192.711538,616.65,-590.08,532.49,-1738.35
5,602639,281920,343298,249481,297381,129284,-1233.534615,613.78,-625.4466667,479,-1680.97
5,586151,277255,334390,237879,276268,120991,-1188.061538,571.35,-643.4066667,383.89,-1552.77
5,558964,261767,323386,240050,288029,119722,-1143.065385,616.19,-555.5733333,479.79,-1683.07
5,613812,292729,361020,259751,308413,131772,-1234.934615,682.91,-675.1266667,486.62,-1766.41
5,665645,310803,386308,275517,326806,140998,-1364.776923,755.05,-738.6066667,512.89,-1858.08
5,586294,274031,335614,239763,294963,122070,-1201.011538,615.83,-639.0066667,552,-1728.93
5,549746,259375,323330,236619,278981,117494,-1116.811538,639.55,-578.0733333,423.62,-1614.87
5,568404,260874,320480,246267,300101,123286,-1182.807692,596.06,-494.7533333,538.34,-1768.15
1,695403,346799,386170,273293,303567,118061,-1340.784615,393.71,-752.5133333,302.74,-1855.06
1,684684,340645,381329,275585,307786,117212,-1323.226923,406.84,-704.96,322.01,-1905.74
1,696098,353429,395480,276011,298567,115316,-1317.957692,420.51,-796.46,225.56,-1832.51
1,640130,320827,366630,260633,288180,108446,-1228.088462,458.03,-706.6466667,275.47,-1797.34
1,667976,332675,373554,264293,294597,111898,-1289.619231,408.79,-728.4066667,303.04,-1826.99
1,691542,348566,376493,254203,287291,114414,-1319.138462,279.27,-815.2666667,330.88,-1728.77
1,661724,323544,364840,252345,284474,111988,-1300.692308,412.96,-749.9666667,321.29,-1724.86
1,660584,330681,376564,263691,294087,110498,-1268.857692,458.83,-752.4866667,303.96,-1835.89
1,691008,345811,379415,257187,287671,113369,-1327.680769,336.04,-814.8533333,304.84,-1743.02
1,707958,353852,402226,320735,378407,141865,-1361.946154,483.74,-543.2733333,576.72,-2365.42
1,725234,358783,468108,299302,326567,127862,-1409.426923,1093.25,-1125.373333,272.65,-1987.05
1,729301,371221,460850,292993,303075,118842,-1377.230769,896.29,-1119.046667,100.82,-1842.33
1,747591,372249,483434,314926,315223,126426,-1443.623077,1111.85,-1123.386667,2.97,-1887.97
1,778711,399153,494453,338188,364752,132199,-1459.838462,953,-1041.766667,265.64,-2325.53
1,773603,386529,498650,326562,345593,127266,-1488.746154,1121.21,-1147.253333,190.31,-2183.27
1,745950,387821,488048,330147,370232,129535,-1377.419231,1002.27,-1052.673333,400.85,-2406.97
1,711982,335699,375938,275218,352303,129525,-1447.242308,402.39,-671.4666667,770.85,-2227.78
1,729455,370211,482642,338678,371290,131584,-1381.707692,1124.31,-959.76,326.12,-2397.06
1,748518,373050,489617,312237,311793,128481,-1444.107692,1165.67,-1182.533333,-4.44,-1833.12
1,736866,367685,484067,313808,310520,127776,-1419.926923,1163.82,-1135.06,-32.88,-1827.44
6,892952,410785,500494,334701,368669,160667,-1854.488462,897.09,-1105.286667,339.68,-2080.02
6,892158,410135,499354,333604,367334,160316,-1853.934615,892.19,-1105,337.3,-2070.18
6,892069,409711,498624,333117,366607,159684,-1855.223077,889.13,-1103.38,334.9,-2069.23
6,895200,414092,502230,334585,367663,161056,-1850.415385,881.38,-1117.633333,330.78,-2066.07
6,896470,404959,495510,336115,374671,160128,-1890.426923,905.51,-1062.633333,385.56,-2145.43
